osm_id,ZT13,,,,,,,,,,,,,,,,
112863359,24,112863359#1,112863359#2,,,,,,,,,,,,,,
45560675,40,45560675,,,,,,,,,,,,,,,
344948096,48,344948096,,,,,,,,,,,,,,,
20319597,48,20319597#0,20319597#1,-20319597#0,-20319597#1,,,,,,,,,,,,
124134666,48,124134666#0,124134666#1,-124134666#0,-124134666#1,,,,,,,,,,,,
133750660,48,124134666#0,-124134666#0,,,,,,,,,,,,,,
454844393,48,454844394,-454844394,,,,,,,,,,,,,,
454844394,48,454844394,-454844394,,,,,,,,,,,,,,
36675282,50,36675282,,,,,,,,,,,,,,,
36675287,50,329989228,-329989228,,,,,,,,,,,,,,
127790962,50,482327908#0,-482327908#0,,,,,,,,,,,,,,
329065110,50,329065110,,,,,,,,,,,,,,,
329065118,50,329065118,,,,,,,,,,,,,,,
329692109,50,329692109,,,,,,,,,,,,,,,
329989228,50,329989228,-329989228,,,,,,,,,,,,,,
329989914,50,329989914,-329989914,,,,,,,,,,,,,,
366701672,50,329989228,-329989228,,,,,,,,,,,,,,
454827462,50,454827462,-454827462,,,,,,,,,,,,,,
482327908,50,482327908#0,-482327908#0,,,,,,,,,,,,,,
4687641,7,4687641#0,4687641#3,,,,,,,,,,,,,,
399708740,9,399708740,,,,,,,,,,,,,,,
25366945,4,25366945,-25366945,,,,,,,,,,,,,,
4320485,41,4320485#1,,,,,,,,,,,,,,,
36597164,28,36597164,-36597164,,,,,,,,,,,,,,
19894751,23,19894751#3,19894751#4,19894751#0,19894751#2,-19894751#0,-19894751#2,,,,,,,,,,
45560670,40,45560670#0,45560670#1,45560670#2,,,,,,,,,,,,,
39368244,44,39368244,,,,,,,,,,,,,,,
356391519,27,356391519,,,,,,,,,,,,,,,
19896822,29,19896822#0,19896822#1,19896822#2,,,,,,,,,,,,,
458262031,32,48808784,,,,,,,,,,,,,,,
48808784,33,48808784,,,,,,,,,,,,,,,
35565810,38,35565810,,,,,,,,,,,,,,,
48921993,38,48921993,,,,,,,,,,,,,,,
109752886,38,109752886,-109752886,,,,,,,,,,,,,,
199560670,38,199560670,,,,,,,,,,,,,,,
453989314,39,453989314,,,,,,,,,,,,,,,
453989315,39,453989315,,,,,,,,,,,,,,,
165337364,7,165337364#1,165337364#4,165337364#7,,,,,,,,,,,,,
21338774,11,21338774,-21338774,,,,,,,,,,,,,,
118773309,20,118773309,-118773309,,,,,,,,,,,,,,
41258633,28,41258633#0,41258633#1,41258633#2,41258633#3,,,,,,,,,,,,
4686990,34,4686990#0,,,,,,,,,,,,,,,
329384209,34,329384209#0,329384209#1,,,,,,,,,,,,,,
356391517,34,356391517#0,,,,,,,,,,,,,,,
455083992,34,455083992,,,,,,,,,,,,,,,
19908075,45,19908075#2,19908075#3,19908075#0,19908075#1,-19908075#0,-19908075#1,,,,,,,,,,
19908070,36,19908070#0,19908070#1,,,,,,,,,,,,,,
80209244,40,80209244#0,80209244#1,,,,,,,,,,,,,,
458246628,42,458246628,-458246628,,,,,,,,,,,,,,
41551810,46,41551810#0,41551810#1,41551810#2,,,,,,,,,,,,,
377233441,10,377233441#0,,,,,,,,,,,,,,,
377233442,10,377233442,,,,,,,,,,,,,,,
21333766,12,21333766#1,,,,,,,,,,,,,,,
455084000,12,455084000#0,,,,,,,,,,,,,,,
455084001,12,455084001#1,,,,,,,,,,,,,,,
465653989,12,465653989,,,,,,,,,,,,,,,
19893612,43,19893612#1,19893612#2,19893612#3,19893612#4,19893612#5,19893612#6,19893612#7,19893612#8,,,,,,,,
132216829,43,132216829#1,132216829#2,132216829#3,,,,,,,,,,,,,
36606094,12,36606094#0,36606094#1,-36606094#0,-36606094#1,,,,,,,,,,,,
36606092,15,36606092#0,-36606092#0,,,,,,,,,,,,,,
36606095,15,36606095,-36606095,,,,,,,,,,,,,,
